@relation dataset-gender

@attribute 'top artists listen percent' numeric
@attribute 'lowe word count in songs' numeric
@attribute 'count of different tags in top artists' numeric
@attribute playcount numeric
@attribute 'top artists total listeners' numeric
@attribute gender {m,f}

@data
0.248235,3,9,17564,4360,m
0.163118,3,8,32596,5317,m
0.305878,1,11,13440,4111,m
0.105263,0,9,3591,378,m
0.168715,0,6,8867,1496,f
0.159387,2,11,206842,32968,m
0.091781,1,10,120362,11047,m
0.173104,0,14,37902,6561,m
0.313869,0,9,274,86,f
0.201609,1,9,32077,6467,m
0.065862,3,9,52868,3482,m
